model,train_score,test_score
Benchmark_1,0.5703467799032694,0.5754914573972338
Benchmark_2,0.5776630120520072,0.5827893452839361
Ridge_Reg,0.6034189440269233,0.6103405204913142
Lasso_Rig,0.6034189438818334,0.6034189438818334
Dec_tree,0.673347876004281,0.6657256091014468
KNN,0.6434906563373577,0.5547055710813609
